hours_since_second,battery,rr,spo2,hr,hrv,sbp,dbp,pp,MAPrs,sv,co,ci,svr,temp,movement
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.1860465116278964,-1.219512195121947,0.0,-0.9097578870139506,-13.750000000000002,-0.3502304147465278,-1.0880458124552483,0.9831824062095612,-0.7748184019370433,-0.3168316831683157,-0.937499999999994,-1.6341030195381885,0.933289516924091,0.05856515373351896,-21.656050955414013
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-0.2027027027027104,1.3362831858407187,0.06285714285713441,0.6461909490707854,11.460875807609478,0.4460892540446525,0.3274460768990237,0.7160640189685861,0.4011617353421639,0.15203568864730932,0.6678206997084377,1.1701192104748972,-0.5638650243245961,0.3695758166747809,26.983186328555693
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-0.4430919050517509,0.6682577565632397,0.15299198025909694,0.20890599230347506,14.905660377358494,-0.1294642857143031,-0.11292232037154287,-0.15564202334629465,-0.21043138433789868,0.0,0.17278617710582406,0.3806228373702464,-0.08190370780298076,-0.09233747859111373,2.4948794706160418
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-1.6018306636155606,0.12453300124534415,0.3808839381961928,0.3051438535309404,-1.5763546798029708,0.11732995084826528,0.09756097560975494,0.14925373134328926,0.11925042589437145,0.02405580947799988,0.32687955745537123,0.4494382022471875,-0.3287045174898936,0.28998488495773744,10.043759845965331
